Avaliação           ,Chave               
5.0                 ,6                   
3.0                 ,8                   
1.0                 ,32                  
1.0                 ,34                  
1.0                 ,36                  
2.0                 ,43                  
1.0                 ,44                  
1.0                 ,46                  
1.0                 ,48                  
1.0                 ,60                  
1.0                 ,63                  
1.0                 ,68                  
11.0                ,74                  
2.0                 ,76                  
2.0                 ,84                  
1.0                 ,87                  
3.0                 ,93                  
2.0                 ,94                  
2.0                 ,106                 
25.0                ,112                 
19.0                ,116                 
18.0                ,123                 
2.0                 ,126                 
1.0                 ,129                 
2.0                 ,130                 
1.0                 ,131                 
2.0                 ,132                 
10.0                ,142                 
2.0                 ,145                 
2.0                 ,149                 
3.0                 ,154                 
4.0                 ,156                 
3.0                 ,178                 
3.0                 ,180                 
1.0                 ,181                 
3.0                 ,197                 
3.0                 ,204                 
1.0                 ,206                 
2.0                 ,213                 
3.0                 ,223                 
11.0                ,226                 
1.0                 ,231                 
2.0                 ,235                 
4.0                 ,237                 
1.0                 ,239                 
1.0                 ,243                 
1.0                 ,244                 
3.0                 ,245                 
1.0                 ,247                 
1.0                 ,263                 
21.0                ,270                 
6.0                 ,275                 
5.0                 ,283                 
7.0                 ,293                 
1.0                 ,300                 
2.0                 ,309                 
1.0                 ,323                 
5.0                 ,325                 
3.0                 ,330                 
1.0                 ,331                 
2.0                 ,333                 
21.0                ,360                 
1.0                 ,368                 
22.0                ,369                 
1.0                 ,376                 
5.0                 ,382                 
1.0                 ,385                 
1.0                 ,396                 
1.0                 ,400                 
3.0                 ,401                 
1.0                 ,408                 
6.0                 ,410                 
3.0                 ,417                 
2.0                 ,418                 
8.0                 ,423                 
2.0                 ,425                 
2.0                 ,427                 
3.0                 ,430                 
1.0                 ,441                 
5.0                 ,450                 
1.0                 ,451                 
3.0                 ,457                 
4.0                 ,459                 
26.0                ,476                 
1.0                 ,487                 
8.0                 ,491                 
3.0                 ,494                 
1.0                 ,496                 
1.0                 ,507                 
21.0                ,521                 
20.0                ,528                 
1.0                 ,546                 
3.0                 ,547                 
5.0                 ,550                 
1.0                 ,557                 
4.0                 ,558                 
2.0                 ,562                 
2.0                 ,563                 
11.0                ,572                 
10.0                ,579                 
36.0                ,580                 
3.0                 ,590                 
1.0                 ,592                 
1.0                 ,593                 
1.0                 ,603                 
3.0                 ,608                 
1.0                 ,609                 
7.0                 ,613                 
2.0                 ,615                 
1.0                 ,642                 
1.0                 ,655                 
3.0                 ,659                 
1.0                 ,660                 
1.0                 ,665                 
5.0                 ,680                 
2.0                 ,682                 
1.0                 ,693                 
1.0                 ,695                 
9.0                 ,699                 
1.0                 ,709                 
1180.0              ,727                 
1.0                 ,733                 
1.0                 ,745                 
3.0                 ,747                 
1.0                 ,749                 
17.0                ,757                 
1.0                 ,758                 
84.0                ,770                 
1.0                 ,775                 
4.0                 ,779                 
4.0                 ,789                 
29.0                ,792                 
1.0                 ,794                 
1.0                 ,804                 
1.0                 ,805                 
6.0                 ,813                 
1.0                 ,814                 
9.0                 ,817                 
19.0                ,818                 
2.0                 ,825                 
3.0                 ,850                 
2.0                 ,854                 
4.0                 ,871                 
1.0                 ,875                 
1.0                 ,878                 
6.0                 ,880                 
1.0                 ,882                 
12.0                ,894                 
1.0                 ,899                 
1.0                 ,901                 
2.0                 ,902                 
3.0                 ,909                 
5.0                 ,910                 
3.0                 ,912                 
21.0                ,920                 
1.0                 ,922                 
7.0                 ,925                 
2.0                 ,927                 
3.0                 ,928                 
5.0                 ,931                 
4.0                 ,932                 
13.0                ,935                 
2.0                 ,939                 
1.0                 ,941                 
1.0                 ,950                 
85.0                ,974                 
7.0                 ,982                 
3.0                 ,983                 
1.0                 ,990                 
64.0                ,995                 
1.0                 ,1013                
6.0                 ,1015                
35.0                ,1017                
1.0                 ,1028                
20.0                ,1041                
1.0                 ,1043                
3.0                 ,1046                
375.0               ,1047                
8.0                 ,1060                
1.0                 ,1067                
1.0                 ,1070                
106.0               ,1074                
1.0                 ,1076                
2.0                 ,1079                
1.0                 ,1081                
1.0                 ,1084                
145.0               ,1090                
3.0                 ,1094                
2.0                 ,1096                
2.0                 ,1103                
4.0                 ,1105                
3.0                 ,1114                
4.0                 ,1121                
1.0                 ,1132                
5.0                 ,1142                
4.0                 ,1144                
2.0                 ,1145                
4.0                 ,1147                
1.0                 ,1150                
1.0                 ,1155                
1.0                 ,1158                
1.0                 ,1160                
1.0                 ,1162                
1.0                 ,1165                
6.0                 ,1170                
29.0                ,1174                
1.0                 ,1177                
1.0                 ,1183                
4.0                 ,1204                
2.0                 ,1209                
6.0                 ,1231                
1.0                 ,1247                
1.0                 ,1250                
1.0                 ,1252                
1.0                 ,1254                
1.0                 ,1260                
4.0                 ,1264                
1.0                 ,1271                
2.0                 ,1274                
2.0                 ,1305                
24.0                ,1306                
1.0                 ,1307                
7.0                 ,1308                
35.0                ,1309                
4.0                 ,1323                
9.0                 ,1324                
6.0                 ,1340                
1.0                 ,1350                
2.0                 ,1352                
1.0                 ,1353                
3.0                 ,1355                
1.0                 ,1356                
38.0                ,1360                
2.0                 ,1364                
13.0                ,1373                
5.0                 ,1374                
7.0                 ,1376                
2.0                 ,1378                
5.0                 ,1386                
9.0                 ,1401                
261.0               ,1429                
2.0                 ,1433                
1.0                 ,1435                
1.0                 ,1442                
3.0                 ,1450                
2.0                 ,1456                
5.0                 ,1481                
1.0                 ,1486                
1.0                 ,1490                
9.0                 ,1498                
2.0                 ,1519                
3.0                 ,1525                
6.0                 ,1526                
2.0                 ,1532                
8.0                 ,1551                
1.0                 ,1552                
1.0                 ,1559                
1.0                 ,1567                
2.0                 ,1572                
7.0                 ,1573                
4.0                 ,1581                
2.0                 ,1602                
2.0                 ,1604                
2.0                 ,1621                
2.0                 ,1642                
8.0                 ,1654                
3.0                 ,1670                
