Avaliação           ,Chave               
 1864.']                                                                         ,22699               
 1979-1981.']                                                                 ,118805              
1.0                 ,100035              
1.0                 ,100045              
1.0                 ,100046              
1.0                 ,100049              
1.0                 ,10005               
1.0                 ,100055              
1.0                 ,100060              
1.0                 ,100072              
